sequence_id,sample_id,crop,year,plot,nitrogen_conc,replicate,sample_date,days_after_fertilization,nucleotide,target_region,fertilization,soil_type,project
2037_M_2016_P6_N400_A_20180430_RNA,2037,M,2016,P6,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2038_M_2016_P6_N400_B_20180430_RNA,2038,M,2016,P6,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2039_M_2016_P6_N400_C_20180430_RNA,2039,M,2016,P6,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2040_M_2016_P7_N0_A_20180430_RNA,2040,M,2016,P7,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2041_M_2016_P7_N0_B_20180430_RNA,2041,M,2016,P7,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2042_M_2016_P7_N0_C_20180430_RNA,2042,M,2016,P7,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2043_M_2016_P9_N200_A_20180430_RNA,2043,M,2016,P9,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2044_M_2016_P9_N200_B_20180430_RNA,2044,M,2016,P9,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2045_M_2016_P9_N200_C_20180430_RNA,2045,M,2016,P9,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2046_M_2017_P12_N200_A_20180430_RNA,2046,M,2017,P12,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2047_M_2017_P12_N200_B_20180430_RNA,2047,M,2017,P12,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2048_M_2017_P12_N200_C_20180430_RNA,2048,M,2017,P12,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2049_M_2017_P13_N400_A_20180430_RNA,2049,M,2017,P13,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2050_M_2017_P13_N400_B_20180430_RNA,2050,M,2017,P13,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2051_M_2017_P13_N400_C_20180430_RNA,2051,M,2017,P13,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2052_M_2017_P14_N0_A_20180430_RNA,2052,M,2017,P14,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2053_M_2017_P14_N0_B_20180430_RNA,2053,M,2017,P14,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2054_M_2017_P14_N0_C_20180430_RNA,2054,M,2017,P14,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2055_M_2016_P17_N400_A_20180430_RNA,2055,M,2016,P17,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2056_M_2016_P17_N400_B_20180430_RNA,2056,M,2016,P17,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2057_M_2016_P17_N400_C_20180430_RNA,2057,M,2016,P17,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2058_M_2016_P18_N200_A_20180430_RNA,2058,M,2016,P18,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2059_M_2016_P18_N200_B_20180430_RNA,2059,M,2016,P18,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2060_M_2016_P18_N200_C_20180430_RNA,2060,M,2016,P18,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2061_M_2016_P19_N0_A_20180430_RNA,2061,M,2016,P19,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2062_M_2016_P19_N0_B_20180430_RNA,2062,M,2016,P19,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2063_M_2016_P19_N0_C_20180430_RNA,2063,M,2016,P19,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2064_M_2017_P22_N400_A_20180430_RNA,2064,M,2017,P22,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2065_M_2017_P22_N400_B_20180430_RNA,2065,M,2017,P22,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2066_M_2017_P22_N400_C_20180430_RNA,2066,M,2017,P22,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2067_M_2017_P24_N0_A_20180430_RNA,2067,M,2017,P24,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2068_M_2017_P24_N0_B_20180430_RNA,2068,M,2017,P24,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2069_M_2017_P24_N0_C_20180430_RNA,2069,M,2017,P24,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2070_M_2017_P25_N200_A_20180430_RNA,2070,M,2017,P25,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2071_M_2017_P25_N200_B_20180430_RNA,2071,M,2017,P25,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2072_M_2017_P25_N200_C_20180430_RNA,2072,M,2017,P25,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2073_M_2015_P27_N400_A_20180430_RNA,2073,M,2015,P27,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2074_M_2015_P27_N400_B_20180430_RNA,2074,M,2015,P27,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2075_M_2015_P27_N400_C_20180430_RNA,2075,M,2015,P27,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2076_M_2015_P28_N0_A_20180430_RNA,2076,M,2015,P28,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2077_M_2015_P28_N0_B_20180430_RNA,2077,M,2015,P28,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2078_M_2015_P28_N0_C_20180430_RNA,2078,M,2015,P28,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2079_M_2015_P30_N200_A_20180430_RNA,2079,M,2015,P30,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2080_M_2015_P30_N200_B_20180430_RNA,2080,M,2015,P30,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2081_M_2015_P30_N200_C_20180430_RNA,2081,M,2015,P30,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2082_M_2017_P33_N200_A_20180430_RNA,2082,M,2017,P33,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2083_M_2017_P33_N200_B_20180430_RNA,2083,M,2017,P33,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2084_M_2017_P33_N200_C_20180430_RNA,2084,M,2017,P33,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2085_M_2017_P34_N400_A_20180430_RNA,2085,M,2017,P34,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2086_M_2017_P34_N400_B_20180430_RNA,2086,M,2017,P34,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2087_M_2017_P34_N400_C_20180430_RNA,2087,M,2017,P34,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2088_M_2017_P35_N0_A_20180430_RNA,2088,M,2017,P35,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2089_M_2017_P35_N0_B_20180430_RNA,2089,M,2017,P35,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2090_M_2017_P35_N0_C_20180430_RNA,2090,M,2017,P35,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2091_M_2016_P37_N400_A_20180430_RNA,2091,M,2016,P37,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2092_M_2016_P37_N400_B_20180430_RNA,2092,M,2016,P37,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2093_M_2016_P37_N400_C_20180430_RNA,2093,M,2016,P37,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2094_M_2016_P39_N0_A_20180430_RNA,2094,M,2016,P39,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2095_M_2016_P39_N0_B_20180430_RNA,2095,M,2016,P39,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2096_M_2016_P39_N0_C_20180430_RNA,2096,M,2016,P39,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2098_M_2016_P40_N200_B_20180430_RNA,2098,M,2016,P40,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2099_M_2016_P40_N200_C_20180430_RNA,2099,M,2016,P40,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2100_M_2015_P43_N200_A_20180430_RNA,2100,M,2015,P43,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2101_M_2015_P43_N200_B_20180430_RNA,2101,M,2015,P43,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2103_M_2015_P44_N0_A_20180430_RNA,2103,M,2015,P44,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2104_M_2015_P44_N0_B_20180430_RNA,2104,M,2015,P44,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2105_M_2015_P44_N0_C_20180430_RNA,2105,M,2015,P44,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2106_M_2015_P45_N400_A_20180430_RNA,2106,M,2015,P45,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2108_M_2015_P45_N400_C_20180430_RNA,2108,M,2015,P45,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2109_C_2018_P33_N200_A_20180430_RNA,2109,C,2018,P33,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2110_C_2018_P33_N200_B_20180430_RNA,2110,C,2018,P33,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2111_C_2018_P33_N200_C_20180430_RNA,2111,C,2018,P33,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2112_C_2018_P34_N300_A_20180430_RNA,2112,C,2018,P34,N300,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2113_C_2018_P34_N300_B_20180430_RNA,2113,C,2018,P34,N300,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2114_C_2018_P34_N300_C_20180430_RNA,2114,C,2018,P34,N300,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2115_C_2018_P35_N0_A_20180430_RNA,2115,C,2018,P35,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2116_C_2018_P35_N0_B_20180430_RNA,2116,C,2018,P35,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2117_C_2018_P35_N0_C_20180430_RNA,2117,C,2018,P35,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2118_C_2018_P37_N300_A_20180430_RNA,2118,C,2018,P37,N300,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2119_C_2018_P37_N300_B_20180430_RNA,2119,C,2018,P37,N300,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2120_C_2018_P37_N300_C_20180430_RNA,2120,C,2018,P37,N300,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2121_C_2018_P39_N0_A_20180430_RNA,2121,C,2018,P39,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2122_C_2018_P39_N0_B_20180430_RNA,2122,C,2018,P39,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2123_C_2018_P39_N0_C_20180430_RNA,2123,C,2018,P39,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2124_C_2018_P40_N200_A_20180430_RNA,2124,C,2018,P40,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2126_C_2018_P40_N200_C_20180430_RNA,2126,C,2018,P40,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2127_C_2018_P43_N200_A_20180430_RNA,2127,C,2018,P43,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2128_C_2018_P43_N200_B_20180430_RNA,2128,C,2018,P43,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2129_C_2018_P43_N200_C_20180430_RNA,2129,C,2018,P43,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2130_C_2018_P44_N0_A_20180430_RNA,2130,C,2018,P44,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2131_C_2018_P44_N0_B_20180430_RNA,2131,C,2018,P44,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2132_C_2018_P44_N0_C_20180430_RNA,2132,C,2018,P44,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2133_C_2018_P45_N300_A_20180430_RNA,2133,C,2018,P45,N300,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2134_C_2018_P45_N300_B_20180430_RNA,2134,C,2018,P45,N300,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2135_C_2018_P45_N300_C_20180430_RNA,2135,C,2018,P45,N300,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2136_M_2017_P46_N0_A_20180430_RNA,2136,M,2017,P46,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2137_M_2017_P46_N0_B_20180430_RNA,2137,M,2017,P46,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2138_M_2017_P46_N0_C_20180430_RNA,2138,M,2017,P46,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2139_M_2017_P48_N400_A_20180430_RNA,2139,M,2017,P48,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2140_M_2017_P48_N400_B_20180430_RNA,2140,M,2017,P48,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2141_M_2017_P48_N400_C_20180430_RNA,2141,M,2017,P48,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2142_M_2017_P50_N200_A_20180430_RNA,2142,M,2017,P50,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2143_M_2017_P50_N200_B_20180430_RNA,2143,M,2017,P50,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2144_M_2017_P50_N200_C_20180430_RNA,2144,M,2017,P50,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2145_M_2015_P53_N400_A_20180430_RNA,2145,M,2015,P53,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2146_M_2015_P53_N400_B_20180430_RNA,2146,M,2015,P53,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2147_M_2015_P53_N400_C_20180430_RNA,2147,M,2015,P53,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2148_M_2015_P54_N200_A_20180430_RNA,2148,M,2015,P54,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2149_M_2015_P54_N200_B_20180430_RNA,2149,M,2015,P54,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2150_M_2015_P54_N200_C_20180430_RNA,2150,M,2015,P54,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2151_M_2015_P55_N0_A_20180430_RNA,2151,M,2015,P55,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2152_M_2015_P55_N0_B_20180430_RNA,2152,M,2015,P55,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2153_M_2015_P55_N0_C_20180430_RNA,2153,M,2015,P55,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2154_M_2016_P56_N0_A_20180430_RNA,2154,M,2016,P56,N0,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2155_M_2016_P56_N0_B_20180430_RNA,2155,M,2016,P56,N0,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2156_M_2016_P56_N0_C_20180430_RNA,2156,M,2016,P56,N0,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2157_M_2016_P58_N400_A_20180430_RNA,2157,M,2016,P58,N400,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2158_M_2016_P58_N400_B_20180430_RNA,2158,M,2016,P58,N400,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2159_M_2016_P58_N400_C_20180430_RNA,2159,M,2016,P58,N400,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2160_M_2016_P60_N200_A_20180430_RNA,2160,M,2016,P60,N200,A,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2161_M_2016_P60_N200_B_20180430_RNA,2161,M,2016,P60,N200,B,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
2162_M_2016_P60_N200_C_20180430_RNA,2162,M,2016,P60,N200,C,20180430,-10,RNA,16S,no,rhizosphere,LAMPS_2018
3001_C_2018_P3_N300_A_20180514_RNA,3001,C,2018,P3,N300,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3002_C_2018_P3_N300_B_20180514_RNA,3002,C,2018,P3,N300,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3003_C_2018_P4_N0_A_20180514_RNA,3003,C,2018,P4,N0,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3004_C_2018_P4_N0_B_20180514_RNA,3004,C,2018,P4,N0,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3005_C_2018_P5_N200_A_20180514_RNA,3005,C,2018,P5,N200,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3006_C_2018_P5_N200_B_20180514_RNA,3006,C,2018,P5,N200,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3007_C_2018_P6_N300_A_20180514_RNA,3007,C,2018,P6,N300,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3008_C_2018_P6_N300_B_20180514_RNA,3008,C,2018,P6,N300,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3009_C_2018_P7_N0_A_20180514_RNA,3009,C,2018,P7,N0,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3010_C_2018_P7_N0_B_20180514_RNA,3010,C,2018,P7,N0,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3011_C_2018_P9_N200_A_20180514_RNA,3011,C,2018,P9,N200,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3012_C_2018_P9_N200_B_20180514_RNA,3012,C,2018,P9,N200,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3013_C_2018_P12_N200_A_20180514_RNA,3013,C,2018,P12,N200,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3014_C_2018_P12_N200_B_20180514_RNA,3014,C,2018,P12,N200,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3015_C_2018_P13_N300_A_20180514_RNA,3015,C,2018,P13,N300,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3016_C_2018_P13_N300_B_20180514_RNA,3016,C,2018,P13,N300,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3017_C_2018_P14_N0_A_20180514_RNA,3017,C,2018,P14,N0,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3018_C_2018_P14_N0_B_20180514_RNA,3018,C,2018,P14,N0,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3019_M_2015_P3_N400_A_20180514_RNA,3019,M,2015,P3,N400,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3020_M_2015_P3_N400_B_20180514_RNA,3020,M,2015,P3,N400,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3021_M_2015_P4_N0_A_20180514_RNA,3021,M,2015,P4,N0,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3022_M_2015_P4_N0_B_20180514_RNA,3022,M,2015,P4,N0,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3023_M_2015_P5_N200_A_20180514_RNA,3023,M,2015,P5,N200,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3024_M_2015_P5_N200_B_20180514_RNA,3024,M,2015,P5,N200,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3025_M_2016_P6_N400_A_20180514_RNA,3025,M,2016,P6,N400,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3026_M_2016_P6_N400_B_20180514_RNA,3026,M,2016,P6,N400,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3027_M_2016_P7_N0_A_20180514_RNA,3027,M,2016,P7,N0,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3028_M_2016_P7_N0_B_20180514_RNA,3028,M,2016,P7,N0,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3029_M_2016_P9_N200_A_20180514_RNA,3029,M,2016,P9,N200,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3030_M_2016_P9_N200_B_20180514_RNA,3030,M,2016,P9,N200,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3031_M_2017_P12_N200_A_20180514_RNA,3031,M,2017,P12,N200,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3032_M_2017_P12_N200_B_20180514_RNA,3032,M,2017,P12,N200,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3033_M_2017_P13_N400_A_20180514_RNA,3033,M,2017,P13,N400,A,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
3034_M_2017_P13_N400_B_20180514_RNA,3034,M,2017,P13,N400,B,20180514,5,RNA,16S,yes,rhizosphere,LAMPS_2018
