sequence_id,sample_id,crop,year,plot,nitrogen_conc,replicate,sample_date,days_after_fertilization,nucleotide,target_region,fertilization,soil_type,project,rownames
1021_C_2018_P12_N200_20180425,1021_DNA,C,2018,P12,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1021_DNA
1022_C_2018_P13_N300_20180425,1022_DNA,C,2018,P13,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1022_DNA
1023_C_2018_P13_N300_20180425,1023_DNA,C,2018,P13,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1023_DNA
1024_C_2018_P13_N300_20180425,1024_DNA,C,2018,P13,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1024_DNA
1025_C_2018_P14_N0_20180425,1025_DNA,C,2018,P14,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1025_DNA
1026_C_2018_P14_N0_20180425,1026_DNA,C,2018,P14,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1026_DNA
1027_C_2018_P14_N0_20180425,1027_DNA,C,2018,P14,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1027_DNA
1028_M_2015_P3_N400_20180425,1028_DNA,M,2015,P3,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1028_DNA
1029_M_2015_P3_N400_20180425,1029_DNA,M,2015,P3,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1029_DNA
1030_M_2015_P3_N400_20180425,1030_DNA,M,2015,P3,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1030_DNA
1031_M_2015_P4_N0_20180425,1031_DNA,M,2015,P4,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1031_DNA
1032_M_2015_P4_N0_20180425,1032_DNA,M,2015,P4,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1032_DNA
1033_M_2015_P4_N0_20180425,1033_DNA,M,2015,P4,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1033_DNA
1034_M_2015_P5_N200_20180425,1034_DNA,M,2015,P5,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1034_DNA
1035_M_2015_P5_N200_20180425,1035_DNA,M,2015,P5,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1035_DNA
1036_M_2015_P5_N200_20180425,1036_DNA,M,2015,P5,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1036_DNA
1037_M_2016_P6_N400_20180425,1037_DNA,M,2016,P6,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1037_DNA
1038_M_2016_P6_N400_20180425,1038_DNA,M,2016,P6,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1038_DNA
1039_M_2016_P6_N400_20180425,1039_DNA,M,2016,P6,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1039_DNA
1040_M_2016_P7_N0_20180425,1040_DNA,M,2016,P7,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1040_DNA
1041_M_2016_P7_N0_20180425,1041_DNA,M,2016,P7,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1041_DNA
1042_M_2016_P7_N0_20180425,1042_DNA,M,2016,P7,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1042_DNA
1043_M_2016_P9_N200_20180425,1043_DNA,M,2016,P9,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1043_DNA
1044_M_2016_P9_N200_20180425,1044_DNA,M,2016,P9,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1044_DNA
1045_M_2016_P9_N200_20180425,1045_DNA,M,2016,P9,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1045_DNA
1046_M_2017_P12_N200_20180425,1046_DNA,M,2017,P12,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1046_DNA
1047_M_2017_P12_N200_20180425,1047_DNA,M,2017,P12,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1047_DNA
1048_M_2017_P12_N200_20180425,1048_DNA,M,2017,P12,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1048_DNA
1049_M_2017_P13_N400_20180425,1049_DNA,M,2017,P13,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1049_DNA
1050_M_2017_P13_N400_20180425,1050_DNA,M,2017,P13,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1050_DNA
1051_M_2017_P13_N400_20180425,1051_DNA,M,2017,P13,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1051_DNA
1052_M_2017_P14_N0_20180425,1052_DNA,M,2017,P14,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1052_DNA
1053_M_2017_P14_N0_20180425,1053_DNA,M,2017,P14,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1053_DNA
1054_M_2017_P14_N0_20180425,1054_DNA,M,2017,P14,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1054_DNA
1055_M_2016_P17_N400_20180425,1055_DNA,M,2016,P17,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1055_DNA
1056_M_2016_P17_N400_20180425,1056_DNA,M,2016,P17,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1056_DNA
1057_M_2016_P17_N400_20180425,1057_DNA,M,2016,P17,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1057_DNA
1058_M_2016_P18_N200_20180425,1058_DNA,M,2016,P18,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1058_DNA
1059_M_2016_P18_N200_20180425,1059_DNA,M,2016,P18,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1059_DNA
1060_M_2016_P18_N200_20180425,1060_DNA,M,2016,P18,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1060_DNA
1061_M_2016_P19_N0_20180425,1061_DNA,M,2016,P19,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1061_DNA
1062_M_2016_P19_N0_20180425,1062_DNA,M,2016,P19,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1062_DNA
1063_M_2016_P19_N0_20180425,1063_DNA,M,2016,P19,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1063_DNA
1064_M_2017_P22_N400_20180425,1064_DNA,M,2017,P22,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1064_DNA
1065_M_2017_P22_N400_20180425,1065_DNA,M,2017,P22,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1065_DNA
1066_M_2017_P22_N400_20180425,1066_DNA,M,2017,P22,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1066_DNA
1067_M_2017_P24_N0_20180425,1067_DNA,M,2017,P24,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1067_DNA
1068_M_2017_P24_N0_20180425,1068_DNA,M,2017,P24,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1068_DNA
1069_M_2017_P24_N0_20180425,1069_DNA,M,2017,P24,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1069_DNA
1070_M_2017_P25_N200_20180425,1070_DNA,M,2017,P25,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1070_DNA
1071_M_2017_P25_N200_20180425,1071_DNA,M,2017,P25,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1071_DNA
1072_M_2017_P25_N200_20180425,1072_DNA,M,2017,P25,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1072_DNA
1073_M_2015_P27_N400_20180425,1073_DNA,M,2015,P27,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1073_DNA
1074_M_2015_P27_N400_20180425,1074_DNA,M,2015,P27,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1074_DNA
1075_M_2015_P27_N400_20180425,1075_DNA,M,2015,P27,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1075_DNA
1076_M_2015_P28_N0_20180425,1076_DNA,M,2015,P28,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1076_DNA
1077_M_2015_P28_N0_20180425,1077_DNA,M,2015,P28,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1077_DNA
1078_M_2015_P28_N0_20180425,1078_DNA,M,2015,P28,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1078_DNA
1079_M_2015_P30_N200_20180425,1079_DNA,M,2015,P30,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1079_DNA
1080_M_2015_P30_N200_20180425,1080_DNA,M,2015,P30,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1080_DNA
1081_M_2015_P30_N200_20180425,1081_DNA,M,2015,P30,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1081_DNA
1082_M_2017_P33_N200_20180425,1082_DNA,M,2017,P33,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1082_DNA
1083_M_2017_P33_N200_20180425,1083_DNA,M,2017,P33,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1083_DNA
1084_M_2017_P33_N200_20180425,1084_DNA,M,2017,P33,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1084_DNA
1085_M_2017_P34_N400_20180425,1085_DNA,M,2017,P34,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1085_DNA
1086_M_2017_P34_N400_20180425,1086_DNA,M,2017,P34,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1086_DNA
1087_M_2017_P34_N400_20180425,1087_DNA,M,2017,P34,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1087_DNA
1088_M_2017_P35_N0_20180425,1088_DNA,M,2017,P35,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1088_DNA
1089_M_2017_P35_N0_20180425,1089_DNA,M,2017,P35,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1089_DNA
1090_M_2017_P35_N0_20180425,1090_DNA,M,2017,P35,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1090_DNA
1091_M_2016_P37_N400_20180425,1091_DNA,M,2016,P37,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1091_DNA
1092_M_2016_P37_N400_20180425,1092_DNA,M,2016,P37,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1092_DNA
1093_M_2016_P37_N400_20180425,1093_DNA,M,2016,P37,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1093_DNA
1094_M_2016_P39_N0_20180425,1094_DNA,M,2016,P39,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1094_DNA
1095_M_2016_P39_N0_20180425,1095_DNA,M,2016,P39,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1095_DNA
1096_M_2016_P39_N0_20180425,1096_DNA,M,2016,P39,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1096_DNA
1097_M_2016_P40_N200_20180425,1097_DNA,M,2016,P40,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1097_DNA
1098_M_2016_P40_N200_20180425,1098_DNA,M,2016,P40,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1098_DNA
1099_M_2016_P40_N200_20180425,1099_DNA,M,2016,P40,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1099_DNA
1100_M_2015_P43_N200_20180425,1100_DNA,M,2015,P43,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1100_DNA
1101_M_2015_P43_N200_20180425,1101_DNA,M,2015,P43,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1101_DNA
1102_M_2015_P43_N200_20180425,1102_DNA,M,2015,P43,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1102_DNA
1103_M_2015_P44_N0_20180425,1103_DNA,M,2015,P44,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1103_DNA
1104_M_2015_P44_N0_20180425,1104_DNA,M,2015,P44,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1104_DNA
1105_M_2015_P44_N0_20180425,1105_DNA,M,2015,P44,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1105_DNA
1106_M_2015_P45_N400_20180425,1106_DNA,M,2015,P45,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1106_DNA
1107_M_2015_P45_N400_20180425,1107_DNA,M,2015,P45,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1107_DNA
1108_M_2015_P45_N400_20180425,1108_DNA,M,2015,P45,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1108_DNA
1109_C_2018_P33_N200_20180425,1109_DNA,C,2018,P33,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1109_DNA
1110_C_2018_P33_N200_20180425,1110_DNA,C,2018,P33,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1110_DNA
1111_C_2018_P33_N200_20180425,1111_DNA,C,2018,P33,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1111_DNA
1112_C_2018_P34_N300_20180425,1112_DNA,C,2018,P34,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1112_DNA
1113_C_2018_P34_N300_20180425,1113_DNA,C,2018,P34,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1113_DNA
1114_C_2018_P34_N300_20180425,1114_DNA,C,2018,P34,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1114_DNA
1115_C_2018_P35_N0_20180425,1115_DNA,C,2018,P35,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1115_DNA
1116_C_2018_P35_N0_20180425,1116_DNA,C,2018,P35,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1116_DNA
1117_C_2018_P35_N0_20180425,1117_DNA,C,2018,P35,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1117_DNA
1118_C_2018_P37_N300_20180425,1118_DNA,C,2018,P37,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1118_DNA
1119_C_2018_P37_N300_20180425,1119_DNA,C,2018,P37,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1119_DNA
1120_C_2018_P37_N300_20180425,1120_DNA,C,2018,P37,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1120_DNA
1121_C_2018_P39_N0_20180425,1121_DNA,C,2018,P39,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1121_DNA
1122_C_2018_P39_N0_20180425,1122_DNA,C,2018,P39,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1122_DNA
1123_C_2018_P39_N0_20180425,1123_DNA,C,2018,P39,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1123_DNA
1124_C_2018_P40_N200_20180425,1124_DNA,C,2018,P40,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1124_DNA
1125_C_2018_P40_N200_20180425,1125_DNA,C,2018,P40,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1125_DNA
1126_C_2018_P40_N200_20180425,1126_DNA,C,2018,P40,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1126_DNA
1127_C_2018_P43_N200_20180425,1127_DNA,C,2018,P43,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1127_DNA
1128_C_2018_P43_N200_20180425,1128_DNA,C,2018,P43,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1128_DNA
1129_C_2018_P43_N200_20180425,1129_DNA,C,2018,P43,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1129_DNA
1130_C_2018_P44_N0_20180425,1130_DNA,C,2018,P44,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1130_DNA
1131_C_2018_P44_N0_20180425,1131_DNA,C,2018,P44,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1131_DNA
1132_C_2018_P44_N0_20180425,1132_DNA,C,2018,P44,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1132_DNA
1133_C_2018_P45_N300_20180425,1133_DNA,C,2018,P45,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1133_DNA
1134_C_2018_P45_N300_20180425,1134_DNA,C,2018,P45,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1134_DNA
1135_C_2018_P45_N300_20180425,1135_DNA,C,2018,P45,N300,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1135_DNA
1136_M_2017_P46_N0_20180425,1136_DNA,M,2017,P46,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1136_DNA
1137_M_2017_P46_N0_20180425,1137_DNA,M,2017,P46,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1137_DNA
1138_M_2017_P46_N0_20180425,1138_DNA,M,2017,P46,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1138_DNA
1139_M_2017_P48_N400_20180425,1139_DNA,M,2017,P48,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1139_DNA
1140_M_2017_P48_N400_20180425,1140_DNA,M,2017,P48,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1140_DNA
1141_M_2017_P48_N400_20180425,1141_DNA,M,2017,P48,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1141_DNA
1142_M_2017_P50_N200_20180425,1142_DNA,M,2017,P50,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1142_DNA
1143_M_2017_P50_N200_20180425,1143_DNA,M,2017,P50,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1143_DNA
1144_M_2017_P50_N200_20180425,1144_DNA,M,2017,P50,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1144_DNA
1145_M_2015_P53_N400_20180425,1145_DNA,M,2015,P53,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1145_DNA
1146_M_2015_P53_N400_20180425,1146_DNA,M,2015,P53,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1146_DNA
1147_M_2015_P53_N400_20180425,1147_DNA,M,2015,P53,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1147_DNA
1148_M_2015_P54_N200_20180425,1148_DNA,M,2015,P54,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1148_DNA
1149_M_2015_P54_N200_20180425,1149_DNA,M,2015,P54,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1149_DNA
1150_M_2015_P54_N200_20180425,1150_DNA,M,2015,P54,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1150_DNA
1151_M_2015_P55_N0_20180425,1151_DNA,M,2015,P55,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1151_DNA
1152_M_2015_P55_N0_20180425,1152_DNA,M,2015,P55,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1152_DNA
1153_M_2015_P55_N0_20180425,1153_DNA,M,2015,P55,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1153_DNA
1154_M_2016_P56_N0_20180425,1154_DNA,M,2016,P56,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1154_DNA
1155_M_2016_P56_N0_20180425,1155_DNA,M,2016,P56,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1155_DNA
1156_M_2016_P56_N0_20180425,1156_DNA,M,2016,P56,N0,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1156_DNA
1157_M_2016_P58_N400_20180425,1157_DNA,M,2016,P58,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1157_DNA
1158_M_2016_P58_N400_20180425,1158_DNA,M,2016,P58,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1158_DNA
1159_M_2016_P58_N400_20180425,1159_DNA,M,2016,P58,N400,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1159_DNA
1160_M_2016_P60_N200_20180425,1160_DNA,M,2016,P60,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1160_DNA
1161_M_2016_P60_N200_20180425,1161_DNA,M,2016,P60,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1161_DNA
1162_M_2016_P60_N200_20180425,1162_DNA,M,2016,P60,N200,,20180425,-14,DNA,16S,no,rhizosphere,LAMPS_2018,1162_DNA
2001_C_2018_P3_N300_A_20180429,2001_DNA,C,2018,P3,N300,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2001_DNA
2002_C_2018_P3_N300_B_20180429,2002_DNA,C,2018,P3,N300,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2002_DNA
2003_C_2018_P3_N300_C_20180429,2003_DNA,C,2018,P3,N300,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2003_DNA
2004_C_2018_P4_N0_A_20180429,2004_DNA,C,2018,P4,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2004_DNA
2005_C_2018_P4_N0_B_20180429,2005_DNA,C,2018,P4,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2005_DNA
2006_C_2018_P4_N0_C_20180429,2006_DNA,C,2018,P4,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2006_DNA
2007_C_2018_P5_N200_A_20180429,2007_DNA,C,2018,P5,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2007_DNA
2008_C_2018_P5_N200_B_20180429,2008_DNA,C,2018,P5,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2008_DNA
2009_C_2018_P5_N200_C_20180429,2009_DNA,C,2018,P5,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2009_DNA
2010_C_2018_P6_N300_A_20180429,2010_DNA,C,2018,P6,N300,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2010_DNA
2011_C_2018_P6_N300_B_20180429,2011_DNA,C,2018,P6,N300,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2011_DNA
2012_C_2018_P6_N300_C_20180429,2012_DNA,C,2018,P6,N300,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2012_DNA
2013_C_2018_P7_N0_A_20180429,2013_DNA,C,2018,P7,N0,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2013_DNA
2014_C_2018_P7_N0_B_20180429,2014_DNA,C,2018,P7,N0,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2014_DNA
2015_C_2018_P7_N0_C_20180429,2015_DNA,C,2018,P7,N0,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2015_DNA
2016_C_2018_P9_N200_A_20180429,2016_DNA,C,2018,P9,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2016_DNA
2017_C_2018_P9_N200_B_20180429,2017_DNA,C,2018,P9,N200,B,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2017_DNA
2018_C_2018_P9_N200_C_20180429,2018_DNA,C,2018,P9,N200,C,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2018_DNA
2019_C_2018_P12_N200_A_20180429,2019_DNA,C,2018,P12,N200,A,20180429,-10,DNA,16S,no,rhizosphere,LAMPS_2018,2019_DNA
